amygdala,anterior_temporal,fusiform_gyrus,inferior_occipital,insula,intraparietal_sulcus,superior_temporal
0.512121212121212,0.551969696969697,0.542878787878788,0.562878787878788,0.501969696969697,0.512727272727273,0.543636363636364
0.475454545454545,0.565454545454545,0.562727272727273,0.472727272727273,0.523636363636364,0.666363636363636,0.571818181818182
0.457121212121212,0.474393939393939,0.531212121212121,0.491212121212121,0.517121212121212,0.497727272727273,0.516969696969697
0.611666666666667,0.534545454545454,0.58030303030303,0.624242424242424,0.544393939393939,0.625757575757576,0.628181818181818
0.537121212121212,0.527878787878788,0.510606060606061,0.548787878787879,0.582121212121212,0.596363636363636,0.551363636363636
0.506060606060606,0.647272727272727,0.535909090909091,0.562575757575757,0.551666666666667,0.590909090909091,0.593939393939394
0.498333333333333,0.495,0.535,0.52,0.413333333333333,0.428333333333333,0.543333333333333
0.541666666666667,0.603787878787879,0.585606060606061,0.531818181818182,0.556818181818182,0.540909090909091,0.524242424242424
0.475,0.616666666666667,0.525,0.558333333333333,0.508333333333333,0.45,0.533333333333333
0.491666666666667,0.483333333333333,0.525,0.533333333333333,0.575,0.625,0.608333333333333
0.457272727272727,0.486515151515151,0.623030303030303,0.458939393939394,0.576363636363636,0.533181818181818,0.588787878787879
0.505357142857143,0.417261904761905,0.545238095238095,0.541071428571429,0.561904761904762,0.513690476190476,0.489880952380952
0.536212121212121,0.493787878787879,0.522121212121212,0.490454545454545,0.499545454545455,0.54530303030303,0.495454545454545
0.556212121212121,0.553484848484848,0.599545454545454,0.554848484848485,0.554393939393939,0.572878787878788,0.619242424242424
0.51989898989899,0.496666666666667,0.61030303030303,0.538787878787879,0.553232323232323,0.582525252525253,0.562121212121212
0.568181818181818,0.640454545454545,0.620454545454545,0.580454545454545,0.599545454545455,0.658636363636364,0.566363636363636
0.453333333333333,0.57,0.56,0.591666666666667,0.438333333333333,0.631666666666667,0.6
0.510606060606061,0.481818181818182,0.620454545454545,0.517424242424242,0.5,0.63030303030303,0.525
0.495,0.534848484848485,0.59969696969697,0.537272727272727,0.587121212121212,0.511666666666667,0.538333333333333
0.446212121212121,0.44469696969697,0.565151515151515,0.590151515151515,0.503787878787879,0.51969696969697,0.503787878787879
0.441666666666667,0.541666666666667,0.508333333333333,0.566666666666667,0.525,0.458333333333333,0.491666666666667
0.475,0.516666666666667,0.566666666666667,0.516666666666667,0.491666666666667,0.508333333333333,0.491666666666667
0.53030303030303,0.496969696969697,0.50530303030303,0.556060606060606,0.56439393939394,0.489393939393939,0.606818181818182
0.475151515151515,0.482575757575758,0.553939393939394,0.530909090909091,0.436818181818182,0.61469696969697,0.559090909090909
0.546666666666667,0.42,0.595,0.535,0.463333333333333,0.675,0.54
0.493030303030303,0.539545454545454,0.503787878787879,0.509848484848485,0.581060606060606,0.50030303030303,0.533787878787879
0.579545454545455,0.558636363636364,0.59030303030303,0.581212121212121,0.568636363636364,0.571212121212121,0.624393939393939
0.518787878787879,0.471363636363636,0.524393939393939,0.544393939393939,0.55530303030303,0.523636363636364,0.507878787878788
0.491666666666667,0.483333333333333,0.591666666666667,0.533333333333333,0.583333333333333,0.658333333333333,0.55
0.5,0.516666666666667,0.508333333333333,0.55,0.558333333333333,0.55,0.516666666666667
0.390454545454545,0.391060606060606,0.53,0.534393939393939,0.536818181818182,0.45030303030303,0.486969696969697
0.483333333333333,0.533333333333333,0.533333333333333,0.566666666666667,0.6,0.608333333333333,0.541666666666667
0.588636363636364,0.596212121212121,0.517424242424242,0.63030303030303,0.604545454545454,0.633333333333333,0.578787878787879
0.508333333333333,0.55,0.616666666666667,0.566666666666667,0.525,0.591666666666667,0.6
0.599393939393939,0.554040404040404,0.599191919191919,0.534949494949495,0.646262626262626,0.653838383838384,0.642525252525252
0.55,0.566666666666667,0.625,0.533333333333333,0.658333333333333,0.616666666666667,0.591666666666667
0.455151515151515,0.527424242424242,0.564848484848485,0.440909090909091,0.475,0.616363636363636,0.482575757575758
0.58030303030303,0.595454545454545,0.679545454545454,0.629545454545455,0.579545454545454,0.696969696969697,0.512878787878788
0.496212121212121,0.470454545454545,0.554545454545454,0.511363636363636,0.620454545454545,0.614393939393939,0.553787878787879
0.516818181818182,0.532727272727273,0.554393939393939,0.441515151515152,0.64,0.540757575757576,0.594090909090909
0.643181818181818,0.510606060606061,0.568181818181818,0.671212121212121,0.603030303030303,0.65530303030303,0.556060606060606
0.424090909090909,0.430757575757576,0.520606060606061,0.493787878787879,0.587878787878788,0.482424242424242,0.432272727272727
0.559545454545454,0.60030303030303,0.528787878787879,0.525454545454546,0.622878787878788,0.584545454545454,0.56530303030303
0.596666666666667,0.575555555555556,0.513333333333333,0.556666666666667,0.61,0.586666666666667,0.526666666666667
0.616060606060606,0.546363636363636,0.621818181818182,0.548939393939394,0.607878787878788,0.64030303030303,0.542121212121212
